tool_1,contract,property,type,matches_1,count_1,tool_2,matches_2,count_2
securify,0x39aa4006ee5941c0c0e41b924fdafcb2c4c918e8,TimestampDepend,Safety,"[163.0, 248.0, 324.0, 400.0, 568.0, 696.0, 784.0, 863.0, 953.0, 1049.0, 1125.0, 1212.0]",12.0,horstify,"[163.0, 696.0, 568.0]",3.0
securify,0x39aa4006ee5941c0c0e41b924fdafcb2c4c918e8,RestrictedWrite,Violation,"[910.0, 1006.0, 1082.0, 1158.0]",4.0,horstify,"[1082.0, 910.0, 1006.0]",3.0
securify,0x91ee990363fbb6aca7497632af8790efc238872f,RestrictedWrite,Violation,"[384.0, 408.0, 562.0, 802.0, 1324.0, 1090.0, 1430.0, 1254.0, 1266.0, 1450.0]",10.0,horstify,"[384.0, 1090.0, 1266.0, 802.0, 562.0, 1430.0, 408.0]",7.0
securify,0x4028b9672bfd71ba2fcd97a6c82e06f72eaa14ba,RestrictedWrite,Violation,"[542.0, 606.0, 617.0, 700.0, 737.0, 782.0, 791.0, 808.0]",8.0,horstify,"[617.0, 700.0, 606.0, 542.0]",4.0
securify,0x1b27996479b11abc8a8d0447deb3fb0183788484,RestrictedWrite,Violation,"[205.0, 1717.0, 1272.0, 1225.0]",4.0,horstify,"[1717.0, 1272.0, 205.0]",3.0
securify,0x8f13a1d43408b6434dd10e161361386f3952d665,RestrictedWrite,Violation,"[370.0, 531.0, 595.0, 606.0, 671.0, 708.0, 731.0, 740.0, 757.0]",9.0,horstify,"[370.0, 595.0, 531.0, 606.0, 671.0]",5.0
securify,0x1c4112b81a5bfb3288573c8d5b8fecc8504ac59d,TimestampDepend,Safety,"[623.0, 1015.0, 1392.0, 1459.0, 2191.0, 2407.0, 1782.0, 2311.0, 2527.0]",9.0,horstify,"[1392.0, 1782.0, 1015.0]",3.0
securify,0x1c4112b81a5bfb3288573c8d5b8fecc8504ac59d,RestrictedWrite,Violation,"[1947.0, 2030.0]",2.0,horstify,[],0.0
securify,0x291fe86f31500adf910accd02e57c702fe9d0ec3,TimestampDepend,Safety,"[163.0, 240.0, 290.0, 377.0, 492.0, 539.0]",6.0,horstify,"[163.0, 377.0]",2.0
securify,0x428Da5ff72D8Be0EfAa85336B6c6A9fC9E0F73fe,RestrictedWrite,Violation,"[571.0, 635.0, 646.0, 669.0, 674.0, 758.0, 795.0, 804.0, 823.0, 859.0, 873.0, 890.0]",12.0,horstify,"[674.0, 758.0, 646.0, 635.0, 571.0, 669.0]",6.0
