tool_1,contract,property,type,matches_1,count_1,tool_2,matches_2,count_2
securify,0x1c4112b81a5bfb3288573c8d5b8fecc8504ac59d,RestrictedWrite,Violation,"[1947.0, 2030.0]",2.0,horstify,[],0.0
securify,0x82df5022fbcfdd877830371d7713f0181a554c9c,TimestampDepend,Safety,[949.0],1.0,horstify,[],0.0
securify,0xebfed9e4ae035b0f7ae982d1a7abfe0aa26a0341,TimestampDepend,Safety,"[857.0, 887.0]",2.0,horstify,[],0.0
securify,0x3d5894b6801221bf296a2ac2d6ccf5ea09ce399a,RestrictedWrite,Violation,"[220.0, 303.0, 314.0, 793.0, 843.0, 396.0, 332.0]",7.0,horstify,[],0.0
securify,0x89205a3a3b2a69de6dbf7f01ed13b2108b2c43e7,RestrictedWrite,Violation,[333.0],1.0,horstify,[],0.0
securify,0x45e42d659d9f9466cd5df622506033145a9b89bc,RestrictedWrite,Violation,"[540.0, 632.0]",2.0,horstify,[],0.0
securify,0x5b2ff75d7eaa47db475707dae12a688102ef4290,TimestampDepend,Safety,"[260.0, 1169.0, 1229.0, 1604.0, 1669.0, 2214.0, 2552.0, 3494.0, 3749.0]",9.0,horstify,[],0.0
securify,0x911143d946ba5d467bfc476491fdb235fef4d667,TimestampDepend,Safety,[4941.0],1.0,horstify,[],0.0
securify,0x1b725d9bcbd26765fe4836d850631037dfb37e0a,TimestampDepend,Safety,[198.0],1.0,horstify,[],0.0
securify,0x89c2352Cb600df56fe4BFB5882caAdEF3E96213f,TimestampDepend,Safety,[674.0],1.0,horstify,[],0.0
securify,0xe3282094d332d26f7Dfca853899eC1736f0295ce,TimestampDepend,Safety,"[270.0, 440.0]",2.0,horstify,[270.0],0.0
securify,0x70E2475B7DA322D4a379e43cD7495C63C055192A,TimestampDepend,Safety,[654.0],1.0,horstify,[],0.0
securify,0x341e790174e3a4d35b65fdc067b6b5634a61caea,TimestampDepend,Safety,"[125.0, 171.0, 284.0, 331.0]",4.0,horstify,[],0.0
securify,0x16A4ff536001405f2B0d7ddAfC79f6A10D024640,TimestampDepend,Safety,[649.0],1.0,horstify,[],0.0
securify,0x02268047f5c77a6a533619773474d1a6e510443f,TimestampDepend,Safety,[112.0],1.0,horstify,[112.0],0.0
securify,0xC4216D17a72BD49E404Fe396bB93c9Cd8Cf3e881,TimestampDepend,Safety,"[165.0, 343.0, 508.0, 571.0, 699.0]",5.0,horstify,[],0.0
securify,0x559b52b6a30Ba913A7e8F85C4A6Aa443a0FE66ab,TimestampDepend,Safety,"[270.0, 440.0]",2.0,horstify,[270.0],0.0
securify,0xf7070fc72e2b92c6309785a39338d7c919a3cf4a,TimestampDepend,Safety,[729.0],1.0,horstify,[],0.0
securify,0x1ca4a86bba124426507d1ef67ad271cc5a02820a,TimestampDepend,Safety,"[152.0, 299.0, 547.0, 459.0]",4.0,horstify,[],0.0
securify,0x3325439082ff8ba7371dfdaa1af297bbfcac21b2,RestrictedWrite,Violation,"[355.0, 429.0, 440.0, 536.0, 590.0, 600.0, 766.0, 336.0]",8.0,horstify,[],0.0
