pc,tool_1,version_1,contract,type,property
248.0,securify,0,0x39aa4006ee5941c0c0e41b924fdafcb2c4c918e8,Safety,TimestampDepend
324.0,securify,0,0x39aa4006ee5941c0c0e41b924fdafcb2c4c918e8,Safety,TimestampDepend
400.0,securify,0,0x39aa4006ee5941c0c0e41b924fdafcb2c4c918e8,Safety,TimestampDepend
784.0,securify,0,0x39aa4006ee5941c0c0e41b924fdafcb2c4c918e8,Safety,TimestampDepend
863.0,securify,0,0x39aa4006ee5941c0c0e41b924fdafcb2c4c918e8,Safety,TimestampDepend
953.0,securify,0,0x39aa4006ee5941c0c0e41b924fdafcb2c4c918e8,Safety,TimestampDepend
1049.0,securify,0,0x39aa4006ee5941c0c0e41b924fdafcb2c4c918e8,Safety,TimestampDepend
1125.0,securify,0,0x39aa4006ee5941c0c0e41b924fdafcb2c4c918e8,Safety,TimestampDepend
1212.0,securify,0,0x39aa4006ee5941c0c0e41b924fdafcb2c4c918e8,Safety,TimestampDepend
1158.0,securify,0,0x39aa4006ee5941c0c0e41b924fdafcb2c4c918e8,Violation,RestrictedWrite
1324.0,securify,0,0x91ee990363fbb6aca7497632af8790efc238872f,Violation,RestrictedWrite
1254.0,securify,0,0x91ee990363fbb6aca7497632af8790efc238872f,Violation,RestrictedWrite
1450.0,securify,0,0x91ee990363fbb6aca7497632af8790efc238872f,Violation,RestrictedWrite
737.0,securify,0,0x4028b9672bfd71ba2fcd97a6c82e06f72eaa14ba,Violation,RestrictedWrite
782.0,securify,0,0x4028b9672bfd71ba2fcd97a6c82e06f72eaa14ba,Violation,RestrictedWrite
791.0,securify,0,0x4028b9672bfd71ba2fcd97a6c82e06f72eaa14ba,Violation,RestrictedWrite
808.0,securify,0,0x4028b9672bfd71ba2fcd97a6c82e06f72eaa14ba,Violation,RestrictedWrite
1225.0,securify,0,0x1b27996479b11abc8a8d0447deb3fb0183788484,Violation,RestrictedWrite
708.0,securify,0,0x8f13a1d43408b6434dd10e161361386f3952d665,Violation,RestrictedWrite
731.0,securify,0,0x8f13a1d43408b6434dd10e161361386f3952d665,Violation,RestrictedWrite
740.0,securify,0,0x8f13a1d43408b6434dd10e161361386f3952d665,Violation,RestrictedWrite
757.0,securify,0,0x8f13a1d43408b6434dd10e161361386f3952d665,Violation,RestrictedWrite
623.0,securify,0,0x1c4112b81a5bfb3288573c8d5b8fecc8504ac59d,Safety,TimestampDepend
1459.0,securify,0,0x1c4112b81a5bfb3288573c8d5b8fecc8504ac59d,Safety,TimestampDepend
2191.0,securify,0,0x1c4112b81a5bfb3288573c8d5b8fecc8504ac59d,Safety,TimestampDepend
